TableName,LineNumber,ParentLineNumber,Tier,Path,LineDescription,SeriesCode,DatasetName,MetaDataUpdated,NextReleaseDate,ReleaseDate,RowNumber,TableID
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,23,,0,23,Federal,A823RY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,250,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,24,,0,24,National defense,A824RY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,260,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,25,,0,25,Nondefense,A825RY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,270,T10102
Table 1.1.2. Contributions to Percent Change in Real Gross Domestic Product,26,,0,26,State and local,A829RY,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,280,T10102
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",1,,0,1,Gross domestic product,A191RA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,10,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",2,,0,2,Personal consumption expenditures,DPCERA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,20,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",3,,0,3,Goods,DGDSRA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,30,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",4,,0,4,Durable goods,DDURRA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,40,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",5,,0,5,Nondurable goods,DNDGRA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,50,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",6,,0,6,Services,DSERRA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,60,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",7,,0,7,Gross private domestic investment,A006RA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,70,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",8,,0,8,Fixed investment,A007RA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,80,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",9,,0,9,Nonresidential,A008RA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,90,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",10,,0,10,Structures,B009RA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,100,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",11,,0,11,Equipment,Y033RA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,110,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",12,,0,12,Intellectual property products,Y001RA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,120,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",13,,0,13,Residential,A011RA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,130,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",14,,0,14,Change in private inventories,ZZZZZZ,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,140,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",15,,0,15,Net exports of goods and services,ZZZZZZ,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,150,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",16,,0,16,Exports,B020RA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,160,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",17,,0,17,Goods,B253RA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,170,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",18,,0,18,Services,B646RA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,180,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",19,,0,19,Imports,B021RA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,190,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",20,,0,20,Goods,B255RA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,200,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",21,,0,21,Services,B656RA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,210,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",22,,0,22,Government consumption expenditures and gross investment,B822RA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,220,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",23,,0,23,Federal,B823RA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,230,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",24,,0,24,National defense,B824RA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,240,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",25,,0,25,Nondefense,B825RA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,250,T10103
"Table 1.1.3. Real Gross Domestic Product, Quantity Indexes",26,,0,26,State and local,B829RA,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,260,T10103
Table 1.1.4. Price Indexes for Gross Domestic Product,1,,0,1,Gross domestic product,A191RG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,10,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,2,,0,2,Personal consumption expenditures,DPCERG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,20,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,3,,0,3,Goods,DGDSRG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,30,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,4,,0,4,Durable goods,DDURRG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,40,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,5,,0,5,Nondurable goods,DNDGRG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,50,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,6,,0,6,Services,DSERRG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,60,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,7,,0,7,Gross private domestic investment,B006RG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,70,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,8,,0,8,Fixed investment,B007RG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,80,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,9,,0,9,Nonresidential,B008RG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,90,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,10,,0,10,Structures,B009RG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,100,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,11,,0,11,Equipment,Y033RG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,110,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,12,,0,12,Intellectual property products,Y001RG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,120,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,13,,0,13,Residential,B011RG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,130,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,14,,0,14,Change in private inventories,ZZZZZZ,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,140,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,15,,0,15,Net exports of goods and services,ZZZZZZ,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,150,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,16,,0,16,Exports,B020RG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,160,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,17,,0,17,Goods,B253RG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,170,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,18,,0,18,Services,B646RG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,180,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,19,,0,19,Imports,B021RG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,190,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,20,,0,20,Goods,B255RG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,200,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,21,,0,21,Services,B656RG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,210,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,22,,0,22,Government consumption expenditures and gross investment,B822RG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,220,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,23,,0,23,Federal,B823RG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,230,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,24,,0,24,National defense,B824RG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,240,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,25,,0,25,Nondefense,B825RG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,250,T10104
Table 1.1.4. Price Indexes for Gross Domestic Product,26,,0,26,State and local,B829RG,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,260,T10104
Table 1.1.5. Gross Domestic Product,1,0,0,1,Gross domestic product,A191RC,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,10,T10105
Table 1.1.5. Gross Domestic Product,2,1,1,1.2,Personal consumption expenditures,DPCERC,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,20,T10105
Table 1.1.5. Gross Domestic Product,3,2,2,1.2.3,Goods,DGDSRC,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,30,T10105
Table 1.1.5. Gross Domestic Product,4,3,3,1.2.3.4,Durable goods,DDURRC,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,40,T10105
Table 1.1.5. Gross Domestic Product,5,3,3,1.2.3.5,Nondurable goods,DNDGRC,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,50,T10105
Table 1.1.5. Gross Domestic Product,6,2,2,1.2.6,Services,DSERRC,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,60,T10105
Table 1.1.5. Gross Domestic Product,7,1,1,1.7,Gross private domestic investment,A006RC,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,70,T10105
Table 1.1.5. Gross Domestic Product,8,7,2,1.7.8,Fixed investment,A007RC,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,80,T10105
Table 1.1.5. Gross Domestic Product,9,8,3,1.7.8.9,Nonresidential,A008RC,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,90,T10105
Table 1.1.5. Gross Domestic Product,10,9,4,1.7.8.9.10,Structures,B009RC,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,100,T10105
Table 1.1.5. Gross Domestic Product,11,9,4,1.7.8.9.11,Equipment,Y033RC,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,110,T10105
Table 1.1.5. Gross Domestic Product,12,9,4,1.7.8.9.12,Intellectual property products,Y001RC,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,120,T10105
Table 1.1.5. Gross Domestic Product,13,8,3,1.7.8.13,Residential,A011RC,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,130,T10105
Table 1.1.5. Gross Domestic Product,14,7,2,1.7.14,Change in private inventories,A014RC,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,140,T10105
Table 1.1.5. Gross Domestic Product,15,1,1,1.15,Net exports of goods and services,A019RC,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,150,T10105
Table 1.1.5. Gross Domestic Product,16,15,2,1.15.16,Exports,B020RC,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,160,T10105
Table 1.1.5. Gross Domestic Product,17,16,3,1.15.16.17,Goods,A253RC,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,170,T10105
Table 1.1.5. Gross Domestic Product,18,16,3,1.15.16.18,Services,A646RC,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,180,T10105
Table 1.1.5. Gross Domestic Product,19,15,2,1.15.19,Imports,B021RC,NIUnderlyingDetail,2019-03-06T10:13:32.840,Mar 28 2019  8:30AM,Feb 28 2019  8:30AM,190,T10105
